id_i,id_j,distance,race_i,race_j,pair_type
3317,4721,0.0,1,1,same_race
5642,7079,0.0,1,1,same_race
4516,5361,0.08524053745639298,0,0,same_race
4516,4773,0.08524053745639298,0,0,same_race
4516,5352,0.08524053745639304,0,0,same_race
1778,4424,0.08524053745639301,1,0,cross_race
1778,3952,0.08524053745639301,1,1,same_race
1778,2291,0.17048107491278602,1,0,cross_race
1778,3036,0.17048107491278602,1,1,same_race
4902,5197,0.0,0,1,cross_race
6311,6614,0.0,0,0,same_race
6311,6692,0.08524053745639303,0,1,cross_race
548,4813,0.08524053745639304,0,1,cross_race
548,754,0.08524053745639304,0,1,cross_race
548,5888,0.08524053745639304,0,1,cross_race
548,5290,0.08524053745639304,0,0,same_race
4582,5672,0.20510962733674365,1,1,same_race
1377,1595,3.021084939873515,1,1,same_race
1377,6194,3.6621116094994783,1,1,same_race
1377,4545,3.8738822251747314,1,1,same_race
5888,6499,0.08524053745639293,1,1,same_race
5888,6132,0.08524053745639293,1,0,cross_race
2150,5142,0.25572161236917906,1,1,same_race
2283,4623,0.08524053745639304,1,1,same_race
2283,3328,0.20510962733674365,1,1,same_race
2283,3637,0.20510962733674365,1,1,same_race
2002,6075,0.0,0,1,cross_race
2002,2492,0.08524053745639301,0,0,same_race
2002,4268,0.08524053745639301,0,0,same_race
2002,3268,0.17048107491278602,0,0,same_race
6022,6725,0.26670912269668773,1,0,cross_race
1805,6810,0.22211688016013684,1,1,same_race
1805,2496,0.22211688016013684,1,1,same_race
347,7116,0.08524053745639304,1,1,same_race
347,3524,0.17048107491278597,1,1,same_race
347,6254,0.17048107491278608,1,1,same_race
347,1691,0.2051096273367436,1,0,cross_race
3524,7116,0.08524053745639293,1,1,same_race
3524,7143,0.08524053745639315,1,1,same_race
3524,4511,0.08524053745639315,1,1,same_race
3524,6709,0.17048107491278597,1,1,same_race
4778,5744,0.08524053745639303,1,0,cross_race
1879,1912,0.0,1,1,same_race
1879,6742,0.08524053745639293,1,1,same_race
1879,5401,0.17048107491278597,1,1,same_race
1879,5962,0.17048107491278608,1,1,same_race
1879,4842,0.20510962733674365,1,1,same_race
3150,3436,0.2051096273367436,1,1,same_race
3150,4691,0.2667091226966877,1,1,same_race
2147,4804,0.2667091226966877,1,1,same_race
2147,5699,0.2667091226966877,1,1,same_race
2147,2649,0.26670912269668773,1,0,cross_race
2147,2268,0.6385087547867916,1,1,same_race
2147,4140,0.7034805048113537,1,1,same_race
5959,6119,0.0,1,1,same_race
5959,6336,0.0,1,0,cross_race
6330,6428,3.6268755797821735,1,1,same_race
4082,5956,0.08524053745639304,0,0,same_race
4082,5787,0.17048107491278602,0,1,cross_race
4082,6241,0.17048107491278605,0,1,cross_race
4218,4897,0.08524053745639304,1,1,same_race
4218,4842,0.08524053745639304,1,1,same_race
1964,6130,0.0,1,1,same_race
1964,5942,0.17048107491278608,1,0,cross_race
1964,5568,0.22211688016013692,1,1,same_race
1964,6846,0.3278162629567218,1,1,same_race
717,7044,0.22211688016013684,0,1,cross_race
717,3668,0.3979009259098221,0,0,same_race
717,4674,0.47298910121966486,0,1,cross_race
717,4717,0.511443224738358,0,1,cross_race
914,4224,0.08524053745639304,1,0,cross_race
914,2831,0.17048107491278608,1,1,same_race
914,3637,0.20510962733674365,1,1,same_race
4901,6658,1.9790829113393287,1,1,same_race
6119,6336,0.0,1,0,cross_race
2589,6072,0.0,1,0,cross_race
2589,4547,0.0,1,1,same_race
2589,5631,0.0,1,0,cross_race
2589,5353,0.0,1,0,cross_race
2589,6851,0.08524053745639298,1,0,cross_race
5023,7145,1.277017509573584,1,0,cross_race
4222,6104,0.08524053745639298,0,1,cross_race
5169,5360,0.0,1,1,same_race
1648,3303,0.0,1,1,same_race
1648,2940,0.08524053745639304,1,1,same_race
1648,2029,0.08524053745639304,1,1,same_race
2031,2681,0.42620268728196503,1,1,same_race
2031,4644,0.6556325259134435,1,1,same_race
2031,6785,0.8204385093469746,1,1,same_race
3743,4901,0.2667091226966876,1,1,same_race
3743,6658,1.9618070460887682,1,1,same_race
1463,4897,0.08524053745639304,1,1,same_race
1463,4842,0.08524053745639304,1,1,same_race
1463,2709,0.17048107491278597,1,1,same_race
1239,3859,0.0,1,1,same_race
1239,3034,0.0,1,0,cross_race
1239,3018,0.0,1,1,same_race
1239,4903,0.0,1,0,cross_race
3221,6210,0.08524053745639304,1,1,same_race
3221,6769,0.3979009259098221,1,1,same_race
11,1911,0.08524053745639304,1,1,same_race
11,4187,0.22211688016013686,1,1,same_race
11,1228,0.22211688016013686,1,1,same_race
11,1890,0.22211688016013686,1,1,same_race
4453,5216,0.0,0,1,cross_race
2274,5216,0.08524053745639304,1,1,same_race
2274,4453,0.08524053745639304,1,0,cross_race
2274,2294,0.08524053745639304,1,1,same_race
32,3771,0.08524053745639303,1,1,same_race
32,3111,0.17048107491278602,1,0,cross_race
32,5744,0.20510962733674362,1,0,cross_race
32,4727,0.20510962733674362,1,1,same_race
32,1790,0.20510962733674365,1,0,cross_race
4628,6265,0.4442337603202737,0,1,cross_race
4628,5108,0.5915476037913094,0,0,same_race
4628,6375,0.6212049438484978,0,1,cross_race
4628,5483,0.6385087547867919,0,0,same_race
2556,4758,0.0,0,0,same_race
2556,2562,0.08524053745639304,0,1,cross_race
2556,3637,0.17048107491278597,0,1,cross_race
3820,5276,0.2221168801601368,1,1,same_race
3820,4624,0.2667091226966877,1,0,cross_race
3820,4545,0.2667091226966877,1,1,same_race
3820,6246,0.32781626295672167,1,1,same_race
4334,6523,0.0,1,0,cross_race
2551,2575,0.0,1,1,same_race
2551,7079,0.08524053745639293,1,1,same_race
2551,5642,0.08524053745639293,1,1,same_race
1212,4713,0.0,0,1,cross_race
1212,6546,0.0,0,1,cross_race
1212,6008,0.0,0,0,same_race
1212,2864,0.0,0,1,cross_race
1212,1979,0.0,0,1,cross_race
2540,6328,0.0,1,0,cross_race
2540,4903,0.08524053745639293,1,0,cross_race
5008,5786,0.08524053745639301,1,0,cross_race
4343,5082,0.0,1,1,same_race
4343,6068,0.0,1,0,cross_race
4343,7053,0.0,1,0,cross_race
2394,5082,0.0,1,1,same_race
2394,6068,0.0,1,0,cross_race
2394,4343,0.0,1,1,same_race
2394,7053,0.0,1,0,cross_race
1668,6850,0.0,0,1,cross_race
1668,5374,0.0,0,1,cross_race
1668,2799,0.0,0,1,cross_race
1668,3103,0.0,0,1,cross_race
5884,6765,0.5966837621947514,0,1,cross_race
2806,4267,0.0,1,1,same_race
2806,6676,0.08524053745639304,1,1,same_race
3015,7143,1.9342242330775994,1,1,same_race
3015,4511,1.9342242330775994,1,1,same_race
3015,3524,1.9361015812840199,1,1,same_race
3015,7116,1.9417227352863864,1,1,same_race
1137,3969,0.08524053745639304,1,1,same_race
1137,6195,0.08524053745639304,1,0,cross_race
1137,4518,0.08524053745639304,1,1,same_race
1137,3572,0.08524053745639304,1,0,cross_race
1137,4823,0.08524053745639304,1,1,same_race
1620,6785,0.20510962733674365,1,1,same_race
1620,5189,0.20510962733674365,1,1,same_race
1620,2155,0.4102192546734872,1,0,cross_race
1175,5725,0.08524053745639304,1,0,cross_race
1175,4745,0.08524053745639304,1,1,same_race
1175,3176,0.08524053745639304,1,1,same_race
1175,1861,0.08524053745639304,1,1,same_race
1175,6532,0.08524053745639304,1,1,same_race
5077,6758,0.4833977450687622,1,1,same_race
5077,6515,1.36768053441245,1,1,same_race
5077,6679,2.4747933067511543,1,1,same_race
5676,6159,0.08524053745639304,1,0,cross_race
459,5364,0.08524053745639304,0,1,cross_race
459,3317,0.08524053745639304,0,1,cross_race
459,3192,0.08524053745639304,0,1,cross_race
459,4113,0.08524053745639304,0,0,same_race
3002,6644,0.08524053745639301,0,0,same_race
3002,3071,0.08524053745639301,0,0,same_race
3002,4935,0.08524053745639301,0,1,cross_race
3002,6802,0.08524053745639301,0,0,same_race
6332,7155,0.47298910121966486,0,0,same_race
2369,5156,0.22211688016013684,1,1,same_race
2369,6971,0.255721612369179,1,0,cross_race
2369,3076,0.4442337603202737,1,0,cross_race
2369,3898,0.4442337603202737,1,0,cross_race
65,2663,0.08524053745639304,1,0,cross_race
65,3111,0.08524053745639304,1,0,cross_race
65,2402,0.08524053745639304,1,1,same_race
65,6723,0.08524053745639304,1,0,cross_race
65,1906,0.17048107491278608,1,1,same_race
2579,3002,0.08524053745639301,0,0,same_race
2579,5361,0.08524053745639304,0,0,same_race
2579,4773,0.08524053745639304,0,0,same_race
2579,6802,0.17048107491278602,0,0,same_race
2579,6644,0.17048107491278602,0,0,same_race
2566,3264,0.22211688016013686,1,1,same_race
2566,4699,0.2667091226966877,1,1,same_race
2566,3818,0.26670912269668773,1,1,same_race
2758,4386,0.4262026872819651,1,1,same_race
2758,5276,1.1864992594697767,1,1,same_race
5142,5265,0.34096214982557205,1,1,same_race
1912,6742,0.08524053745639293,1,1,same_race
1912,5401,0.17048107491278597,1,1,same_race
1912,5962,0.17048107491278608,1,1,same_race
1912,4842,0.20510962733674365,1,1,same_race
4212,6519,0.0,1,0,cross_race
4212,4617,0.08524053745639293,1,0,cross_race
4212,5842,0.17048107491278586,1,0,cross_race
2271,4045,1.9361015812840199,1,0,cross_race
2288,6134,0.6309528281045266,1,1,same_race
2288,2649,0.6385087547867924,1,0,cross_race
2288,4140,0.7121030190084305,1,1,same_race
2288,4804,0.8001273680900634,1,1,same_race
2288,5699,0.8001273680900634,1,1,same_race
1260,7208,0.0,1,1,same_race
1260,3594,0.0,1,0,cross_race
1260,4924,0.0,1,1,same_race
1260,6356,0.0,1,1,same_race
2264,2467,0.5334182453933755,1,1,same_race
2264,2766,0.7485174438063078,1,1,same_race
2264,3147,0.8884675206405475,1,0,cross_race
1699,5672,0.22211688016013686,0,1,cross_race
1699,4355,0.2667091226966877,0,1,cross_race
1699,4283,0.26670912269668773,0,1,cross_race
1699,3191,0.3278162629567217,0,1,cross_race
1699,3526,0.3278162629567217,0,0,same_race
631,2940,0.0,0,1,cross_race
631,4307,0.0,0,0,same_race
631,2029,0.0,0,1,cross_race
631,1768,0.0,0,1,cross_race
631,1648,0.08524053745639304,0,1,cross_race
1681,3570,0.08524053745639298,0,0,same_race
1681,3327,0.08524053745639298,0,0,same_race
1681,7109,0.08524053745639304,0,1,cross_race
1681,2248,0.25572161236917906,0,0,same_race
2904,4962,0.25572161236917923,0,0,same_race
2904,4765,0.34096214982557216,0,0,same_race
2904,6906,0.511443224738358,0,0,same_race
6072,6851,0.08524053745639298,0,0,same_race
3390,4220,0.0,1,1,same_race
3390,3930,0.0,1,1,same_race
3390,6832,0.0,1,1,same_race
6508,7050,0.17048107491278586,0,0,same_race
6508,6820,0.25572161236917923,0,0,same_race
4785,4841,0.22211688016013684,1,1,same_race
6184,7120,0.0,1,0,cross_race
1473,3741,0.17048107491278602,1,1,same_race
1473,5643,0.22211688016013686,1,1,same_race
1473,5705,0.22211688016013686,1,0,cross_race
2273,2848,0.0,0,1,cross_race
2273,5956,0.2051096273367436,0,0,same_race
2273,2579,0.20510962733674365,0,0,same_race
4272,4405,0.0,1,0,cross_race
4272,4320,0.08524053745639293,1,1,same_race
4272,6912,0.08524053745639304,1,1,same_race
4272,7017,0.17048107491278597,1,1,same_race
1787,3789,0.0,0,1,cross_race
1787,2984,0.0,0,0,same_race
1787,6343,0.0,0,1,cross_race
1640,6806,0.0,0,0,same_race
1640,3498,0.08524053745639293,0,0,same_race
1640,6496,0.41021925467348724,0,0,same_race
1640,3330,1.2569455338941842,0,0,same_race
2864,4713,0.0,1,1,same_race
2864,6546,0.0,1,1,same_race
2864,6008,0.0,1,0,cross_race
5233,6194,8.153705453260704,0,1,cross_race
5233,6330,8.447391136246559,0,1,cross_race
5631,6072,0.0,0,0,same_race
5631,6851,0.08524053745639298,0,0,same_race
3870,7088,0.39790092590982196,0,1,cross_race
3103,6850,0.0,1,1,same_race
3103,5374,0.0,1,1,same_race
2200,5386,0.08524053745639304,1,0,cross_race
2200,5135,0.08524053745639304,1,0,cross_race
2200,2276,0.08524053745639304,1,0,cross_race
2200,5907,0.08524053745639304,1,1,same_race
2200,4672,0.08524053745639304,1,0,cross_race
2822,7181,0.2667091226966877,1,1,same_race
2822,5493,0.26670912269668773,1,0,cross_race
2822,6182,0.3278162629567216,1,0,cross_race
2822,5253,0.3278162629567216,1,1,same_race
1890,5769,0.0,1,0,cross_race
1890,5856,0.0,1,1,same_race
1890,4416,0.0,1,1,same_race
1890,4187,0.0,1,1,same_race
3629,7129,0.2051096273367436,1,0,cross_race
3629,5457,0.2051096273367436,1,0,cross_race
6587,6978,0.0,0,1,cross_race
6587,6855,0.0,0,1,cross_race
3158,6235,0.22211688016013675,1,0,cross_race
3158,5129,0.22211688016013684,1,0,cross_race
3158,3365,0.2667091226966877,1,0,cross_race
3158,6578,0.3278162629567217,1,1,same_race
3499,5169,0.08524053745639304,1,1,same_race
3499,6201,0.08524053745639304,1,1,same_race
3499,5360,0.08524053745639304,1,1,same_race
4038,4232,0.0,1,1,same_race
3509,6263,0.08524053745639304,1,0,cross_race
3509,5262,0.17048107491278597,1,0,cross_race
1256,6319,0.08524053745639293,0,0,same_race
1256,1968,0.08524053745639293,0,0,same_race
1256,3668,0.2051096273367436,0,0,same_race
1256,4674,0.22211688016013675,0,1,cross_race
1256,2522,0.26670912269668756,0,0,same_race
4011,5807,0.17048107491278608,0,1,cross_race
4011,4355,0.3409621498255721,0,1,cross_race
2346,7033,0.20510962733674365,1,1,same_race
2346,5960,0.20510962733674365,1,1,same_race
2346,6709,0.2221168801601368,1,1,same_race
5443,6454,0.5334182453933755,1,1,same_race
5443,6679,1.0144707288465094,1,1,same_race
5443,6681,1.438295502082423,1,1,same_race
357,3330,0.08524053745639304,1,0,cross_race
357,539,0.6385087547867919,1,0,cross_race
357,6496,0.8884675206405475,1,0,cross_race
357,6806,1.277017509573584,1,0,cross_race
357,1640,1.277017509573584,1,0,cross_race
6644,6736,0.0,0,1,cross_race
6644,6802,0.0,0,0,same_race
1005,4644,0.17048107491278597,1,1,same_race
1005,2681,0.4189818446313947,1,1,same_race
1005,6785,0.5334182453933755,1,1,same_race
1005,2031,0.5334182453933755,1,1,same_race
1005,1489,0.6385087547867919,1,1,same_race
10,4790,0.0,0,0,same_race
10,3835,0.0,0,1,cross_race
10,2787,0.0,0,0,same_race
10,3543,0.0,0,1,cross_race
3436,4691,0.17048107491278602,1,1,same_race
3436,4120,0.22211688016013686,1,0,cross_race
3436,6867,0.22211688016013686,1,0,cross_race
1459,3967,0.08524053745639298,0,1,cross_race
1459,6329,0.08524053745639298,0,1,cross_race
1459,5592,0.08524053745639304,0,1,cross_race
1459,5401,0.17048107491278608,0,1,cross_race
2172,5197,0.0,1,1,same_race
2172,4902,0.0,1,0,cross_race
2172,2737,0.0,1,1,same_race
6407,6634,0.3278162629567217,0,1,cross_race
856,1579,0.0,0,0,same_race
856,6617,0.0,0,0,same_race
856,6160,0.0,0,0,same_race
856,2493,0.0,0,1,cross_race
856,2544,0.08524053745639304,0,1,cross_race
6160,6617,0.0,0,0,same_race
6008,6546,0.0,0,1,cross_race
2544,3816,0.0,1,0,cross_race
2544,6160,0.08524053745639304,1,0,cross_race
2544,2877,0.08524053745639304,1,1,same_race
5761,6634,0.0,0,1,cross_race
5659,6104,0.08524053745639298,1,1,same_race
6515,6758,1.6759273785255788,1,1,same_race
4813,6664,0.0,1,1,same_race
4813,6954,0.08524053745639304,1,0,cross_race
6375,6532,0.20510962733674365,1,1,same_race
3122,3247,0.08524053745639304,0,1,cross_race
3122,5738,0.17048107491278602,0,0,same_race
3122,3990,0.20510962733674362,0,1,cross_race
816,6900,0.22211688016013686,1,1,same_race
816,5617,0.26670912269668773,1,1,same_race
816,4038,0.3278162629567218,1,1,same_race
816,4232,0.3278162629567218,1,1,same_race
816,2183,0.3409621498255721,1,1,same_race
4145,4187,0.22211688016013686,0,1,cross_race
3266,3366,0.0,0,1,cross_race
3266,3784,0.0,0,0,same_race
3266,6177,0.0,0,1,cross_race
3266,3317,0.08524053745639293,0,1,cross_race
3564,4785,0.0,0,1,cross_race
3564,4841,0.22211688016013684,0,1,cross_race
887,4045,0.08524053745639293,0,0,same_race
887,4851,0.22211688016013684,0,1,cross_race
887,6553,0.22211688016013684,0,0,same_race
2103,5601,0.0,1,1,same_race
4924,7208,0.0,1,1,same_race
4924,6356,0.0,1,1,same_race
1887,2011,0.0,0,1,cross_race
1887,2103,0.0,0,1,cross_race
1887,5601,0.0,0,1,cross_race
1661,2271,1.080742415318804,1,1,same_race
1661,2821,1.6606838752485784,1,1,same_race
1661,4623,1.9417227352863864,1,1,same_race
4518,6295,0.0,1,0,cross_race
4518,5642,0.08524053745639304,1,1,same_race
2152,5984,0.08524053745639293,0,0,same_race
2152,4298,0.08524053745639293,0,1,cross_race
2152,6195,0.17048107491278597,0,0,same_race
2152,3572,0.17048107491278597,0,0,same_race
1338,4914,0.08524053745639315,1,0,cross_race
1338,3231,0.08524053745639315,1,1,same_race
1338,5099,0.17048107491278608,1,1,same_race
1338,2208,0.17048107491278608,1,1,same_race
4435,6316,0.17048107491278602,0,0,same_race
4435,7133,0.22211688016013686,0,1,cross_race
6068,7053,0.0,0,0,same_race
1461,5960,0.20510962733674362,1,1,same_race
1461,7033,0.20510962733674362,1,1,same_race
1461,5626,0.20510962733674365,1,0,cross_race
1461,6344,0.22211688016013686,1,1,same_race
4268,6075,0.08524053745639301,0,1,cross_race
268,3150,0.17048107491278602,1,1,same_race
268,4355,0.20510962733674365,1,1,same_race
268,602,0.2221168801601368,1,1,same_race
268,3526,0.22211688016013686,1,0,cross_race
268,7133,0.2667091226966877,1,1,same_race
2208,4914,0.08524053745639293,1,0,cross_race
2208,3231,0.08524053745639293,1,1,same_race
2208,4136,0.17048107491278608,1,0,cross_race
2259,6829,0.0,0,0,same_race
2259,6659,0.0,0,0,same_race
2259,5372,0.08524053745639293,0,0,same_race
3118,6658,0.20510962733674365,0,1,cross_race
3118,3620,0.2221168801601368,0,0,same_race
3118,4231,0.41898184463139465,0,1,cross_race
1319,2874,0.0,0,1,cross_race
1319,1610,0.0,0,1,cross_race
1319,5128,0.0,0,1,cross_race
1319,3036,0.08524053745639301,0,1,cross_race
1319,2291,0.08524053745639301,0,0,same_race
3771,5705,0.17048107491278602,1,0,cross_race
3771,4778,0.20510962733674362,1,1,same_race
3771,3926,0.20510962733674365,1,0,cross_race
3972,6257,0.2667091226966876,0,1,cross_race
3972,6983,0.3278162629567216,0,0,same_race
3176,5725,0.0,1,0,cross_race
3176,6788,0.08524053745639304,1,1,same_race
3176,4404,0.08524053745639304,1,1,same_race
3176,6532,0.17048107491278608,1,1,same_race
3191,6730,0.22211688016013684,1,1,same_race
3191,3327,0.22211688016013686,1,0,cross_race
3191,3570,0.22211688016013686,1,0,cross_race
5900,6841,0.08524053745639293,1,0,cross_race
5900,6053,0.08524053745639293,1,0,cross_race
3928,7120,0.08524053745639304,0,0,same_race
3928,5719,0.08524053745639304,0,1,cross_race
3928,6184,0.08524053745639304,0,1,cross_race
4127,6433,0.20510962733674365,0,1,cross_race
4127,5412,0.397900925909822,0,0,same_race
4127,4663,0.39790092590982207,0,1,cross_race
4127,5117,0.4102192546734873,0,1,cross_race
3671,6043,0.08524053745639298,1,0,cross_race
3671,3688,0.08524053745639298,1,0,cross_race
3671,3775,0.08524053745639304,1,0,cross_race
1718,3669,0.0,1,0,cross_race
1718,4412,0.20510962733674365,1,0,cross_race
1718,4490,0.22211688016013686,1,1,same_race
1624,3570,0.0,1,0,cross_race
1624,3327,0.0,1,0,cross_race
1624,1681,0.08524053745639298,1,0,cross_race
1624,7109,0.17048107491278602,1,1,same_race
1624,2248,0.17048107491278608,1,0,cross_race
4404,6788,0.0,1,1,same_race
4404,6696,0.08524053745639304,1,1,same_race
2954,3185,0.2221168801601368,1,1,same_race
2954,5117,0.22211688016013684,1,1,same_race
2954,5073,0.2557216123691791,1,1,same_race
2954,4546,0.2667091226966877,1,1,same_race
2696,3748,0.0,0,0,same_race
2696,6820,0.22211688016013692,0,0,same_race
2696,6479,0.26670912269668773,0,0,same_race
2696,6508,0.26670912269668773,0,0,same_race
1595,2771,2.2988705298193475,1,0,cross_race
1595,3015,2.4328803039859928,1,1,same_race
1595,4386,2.8452552336870873,1,1,same_race
2562,4758,0.08524053745639304,1,0,cross_race
2562,3637,0.255721612369179,1,1,same_race
6356,7208,0.0,1,1,same_race
649,6467,0.0,0,0,same_race
649,2190,0.08524053745639298,0,1,cross_race
649,2074,0.08524053745639298,0,0,same_race
649,3672,0.08524053745639298,0,0,same_race
764,6578,0.0,1,1,same_race
764,4247,0.08524053745639315,1,0,cross_race
764,5129,0.17048107491278608,1,0,cross_race
764,3158,0.3278162629567217,1,1,same_race
764,3365,0.41898184463139465,1,0,cross_race
4656,5666,0.08524053745639304,1,1,same_race
402,2011,0.0,0,1,cross_race
402,1887,0.0,0,0,same_race
402,2103,0.0,0,1,cross_race
402,5601,0.0,0,1,cross_race
4688,6705,0.17048107491278608,1,0,cross_race
1273,2500,0.0,1,0,cross_race
1273,5322,0.0,1,0,cross_race
1273,2892,0.08524053745639304,1,1,same_race
2977,6647,0.0,1,1,same_race
2977,4930,0.08524053745639303,1,1,same_race
1111,3342,0.0,1,1,same_race
1111,5360,0.0,1,1,same_race
1111,3278,0.0,1,0,cross_race
1111,2540,0.08524053745639304,1,1,same_race
2886,3071,0.08524053745639301,0,0,same_race
2886,6644,0.08524053745639301,0,0,same_race
2886,6311,0.08524053745639301,0,0,same_race
2886,6802,0.08524053745639301,0,0,same_race
5374,6850,0.0,1,1,same_race
2276,5907,0.0,0,1,cross_race
2276,2580,0.08524053745639298,0,1,cross_race
2276,5135,0.17048107491278608,0,0,same_race
405,1805,0.08524053745639293,1,1,same_race
405,6560,0.17048107491278608,1,1,same_race
405,2496,0.20510962733674365,1,1,same_race
405,6810,0.20510962733674365,1,1,same_race
6201,6770,0.0,1,0,cross_race
6201,6803,0.0,1,1,same_race
4355,5807,0.17048107491278602,1,1,same_race
2933,6506,0.2221168801601368,1,0,cross_race
2933,5204,0.2221168801601368,1,1,same_race
2933,7189,0.22211688016013686,1,1,same_race
5117,6433,0.20510962733674365,1,1,same_race
3105,4688,0.08524053745639293,1,1,same_race
3105,3120,0.08524053745639304,1,0,cross_race
3105,3416,0.20510962733674365,1,0,cross_race
3289,5265,1.0290845105632973,1,1,same_race
3289,5142,1.1105844008006844,1,1,same_race
2580,5386,0.08524053745639298,1,0,cross_race
2580,5907,0.08524053745639298,1,1,same_race
2580,4268,0.17048107491278605,1,0,cross_race
4731,5626,0.795801851819644,1,0,cross_race
4731,6344,0.8699550127443979,1,1,same_race
1813,5265,0.2667091226966877,1,1,same_race
1813,5142,0.26670912269668773,1,1,same_race
1813,2150,0.4729891012196649,1,1,same_race
1813,5493,0.5915476037913092,1,0,cross_race
2402,6723,0.0,1,0,cross_race
2402,2663,0.0,1,0,cross_race
2402,3658,0.17048107491278597,1,1,same_race
865,2011,0.0,1,1,same_race
865,1887,0.0,1,0,cross_race
865,2103,0.0,1,1,same_race
865,5601,0.0,1,1,same_race
95,649,0.0,0,0,same_race
95,6467,0.0,0,0,same_race
95,2190,0.08524053745639298,0,1,cross_race
95,2074,0.08524053745639298,0,0,same_race
95,3672,0.08524053745639298,0,0,same_race
1267,1380,0.0,0,0,same_race
1267,3509,0.08524053745639304,0,1,cross_race
1267,2602,0.17048107491278597,0,0,same_race
1301,5082,0.0,0,1,cross_race
1301,6068,0.0,0,0,same_race
1301,2394,0.0,0,1,cross_race
1301,4343,0.0,0,1,cross_race
1301,7053,0.0,0,0,same_race
1192,3175,0.08524053745639298,0,1,cross_race
1192,7049,0.08524053745639304,0,1,cross_race
1192,3053,0.17048107491278602,0,0,same_race
1192,5226,0.25572161236917906,0,0,same_race
1911,4145,0.08524053745639304,1,0,cross_race
1911,4187,0.20510962733674365,1,1,same_race
6510,6935,0.6212049438484978,1,1,same_race
6454,6679,0.48339774506876226,1,1,same_race
