id_i,id_j,distance,race_i,race_j,pair_type,profile_id
4238,738,,0,1,cross_race,36+_6+_felony
6846,4140,,1,1,same_race,36+_6+_felony
700,6247,,1,1,same_race,36+_6+_felony
775,1629,,1,1,same_race,36+_6+_felony
5542,4847,,0,0,same_race,36+_6+_felony
3221,1502,,1,0,cross_race,36+_6+_felony
1502,1038,,0,1,cross_race,36+_6+_felony
2649,2932,,0,1,cross_race,36+_6+_felony
3065,6247,,1,1,same_race,36+_6+_felony
6975,1001,,1,0,cross_race,36+_6+_felony
3221,5233,,1,0,cross_race,36+_6+_felony
3972,6670,,0,1,cross_race,36+_6+_felony
6194,5685,,1,1,same_race,36+_6+_felony
4238,1537,,0,0,same_race,36+_6+_felony
3221,58,,1,0,cross_race,36+_6+_felony
4238,2754,,0,1,cross_race,36+_6+_felony
6382,4140,,1,1,same_race,36+_6+_felony
5613,1096,,1,0,cross_race,36+_6+_felony
6194,3523,,1,0,cross_race,36+_6+_felony
3818,3065,,1,1,same_race,36+_6+_felony
2566,6194,,1,1,same_race,36+_6+_felony
1299,2754,,1,1,same_race,36+_6+_felony
833,4317,,1,0,cross_race,36+_6+_felony
2147,2169,,1,0,cross_race,36+_6+_felony
625,738,,1,1,same_race,36+_6+_felony
4317,5699,,0,1,cross_race,36+_6+_felony
5069,3091,,1,1,same_race,36+_6+_felony
2932,1537,,1,0,cross_race,36+_6+_felony
58,2391,,0,1,cross_race,36+_6+_felony
6210,2099,,1,1,same_race,36+_6+_felony
1299,6983,,1,0,cross_race,36+_6+_felony
7088,1629,,1,1,same_race,36+_6+_felony
5441,1537,,1,0,cross_race,36+_6+_felony
1400,2823,,1,1,same_race,36+_6+_felony
2974,3065,,1,1,same_race,36+_6+_felony
4804,3523,,1,0,cross_race,36+_6+_felony
2391,1629,,1,1,same_race,36+_6+_felony
6134,2099,,1,1,same_race,36+_6+_felony
3258,738,,1,1,same_race,36+_6+_felony
1299,2649,,1,0,cross_race,36+_6+_felony
2566,6210,,1,1,same_race,36+_6+_felony
4317,6983,,0,0,same_race,36+_6+_felony
1020,3258,,1,1,same_race,36+_6+_felony
5441,20,,1,1,same_race,36+_6+_felony
3972,3600,,0,0,same_race,36+_6+_felony
833,6670,,1,1,same_race,36+_6+_felony
6975,1299,,1,1,same_race,36+_6+_felony
7088,5613,,1,1,same_race,36+_6+_felony
4953,4998,,1,0,cross_race,36+_6+_felony
3818,4140,,1,1,same_race,36+_6+_felony
6846,2672,,1,1,same_race,36+_6+_felony
4998,6769,,0,1,cross_race,36+_6+_felony
5441,4317,,1,0,cross_race,36+_6+_felony
7026,775,,1,1,same_race,36+_6+_felony
6941,2099,,1,1,same_race,36+_6+_felony
2147,2672,,1,1,same_race,36+_6+_felony
6769,3489,,1,0,cross_race,36+_6+_felony
749,6846,,1,1,same_race,36+_6+_felony
757,2754,,1,1,same_race,36+_6+_felony
4699,3065,,1,1,same_race,36+_6+_felony
5613,833,,1,1,same_race,36+_6+_felony
2215,5613,,1,1,same_race,36+_6+_felony
4953,7026,,1,1,same_race,36+_6+_felony
4140,2672,,1,1,same_race,36+_6+_felony
398,6210,,1,1,same_race,36+_6+_felony
3972,757,,0,1,cross_race,36+_6+_felony
2147,3065,,1,1,same_race,36+_6+_felony
2288,1502,,1,0,cross_race,36+_6+_felony
3065,738,,1,1,same_race,36+_6+_felony
3972,2823,,0,1,cross_race,36+_6+_felony
5699,6247,,1,1,same_race,36+_6+_felony
1400,3489,,1,0,cross_race,36+_6+_felony
6975,6769,,1,1,same_race,36+_6+_felony
757,3091,,1,1,same_race,36+_6+_felony
833,3258,,1,1,same_race,36+_6+_felony
5233,1020,,0,1,cross_race,36+_6+_felony
2099,20,,1,1,same_race,36+_6+_felony
6210,3091,,1,1,same_race,36+_6+_felony
5613,3600,,1,0,cross_race,36+_6+_felony
3972,1502,,0,0,same_race,36+_6+_felony
2147,4238,,1,0,cross_race,36+_6+_felony
5706,3264,,1,1,same_race,36+_6+_felony
1960,2672,,1,1,same_race,36+_6+_felony
625,4732,,1,0,cross_race,36+_6+_felony
4847,2672,,0,1,cross_race,36+_6+_felony
2932,1400,,1,1,same_race,36+_6+_felony
833,3523,,1,0,cross_race,36+_6+_felony
749,6134,,1,1,same_race,36+_6+_felony
58,1400,,0,1,cross_race,36+_6+_felony
6134,2932,,1,1,same_race,36+_6+_felony
3841,5685,,1,1,same_race,36+_6+_felony
2566,5542,,1,0,cross_race,36+_6+_felony
6210,4847,,1,0,cross_race,36+_6+_felony
4238,6247,,0,1,cross_race,36+_6+_felony
4317,2754,,0,1,cross_race,36+_6+_felony
6769,775,,1,1,same_race,36+_6+_felony
5069,4699,,1,1,same_race,36+_6+_felony
2169,6670,,0,1,cross_race,36+_6+_felony
1001,1537,,0,0,same_race,36+_6+_felony
4699,738,,1,1,same_race,36+_6+_felony
4238,1629,,0,1,cross_race,36+_6+_felony
3870,6382,,0,1,cross_race,36+_6+_felony
3870,6941,,0,1,cross_race,36+_6+_felony
2391,2823,,1,1,same_race,36+_6+_felony
749,2823,,1,1,same_race,36+_6+_felony
4317,775,,0,1,cross_race,36+_6+_felony
1400,4732,,1,0,cross_race,36+_6+_felony
700,2391,,1,1,same_race,36+_6+_felony
749,3091,,1,1,same_race,36+_6+_felony
3147,6670,,0,1,cross_race,36+_6+_felony
2566,3065,,1,1,same_race,36+_6+_felony
6975,625,,1,1,same_race,36+_6+_felony
3818,20,,1,1,same_race,36+_6+_felony
398,3258,,1,1,same_race,36+_6+_felony
4804,5542,,1,0,cross_race,36+_6+_felony
4953,4732,,1,0,cross_race,36+_6+_felony
5706,1299,,1,1,same_race,36+_6+_felony
5441,4998,,1,0,cross_race,36+_6+_felony
3264,4317,,1,0,cross_race,36+_6+_felony
4699,1629,,1,1,same_race,36+_6+_felony
58,3264,,0,1,cross_race,36+_6+_felony
6816,833,,1,1,same_race,36+_6+_felony
3523,868,,0,1,cross_race,36+_6+_felony
6670,3091,,1,1,same_race,36+_6+_felony
1502,700,,0,1,cross_race,36+_6+_felony
3600,2169,,0,0,same_race,36+_6+_felony
700,2169,,1,0,cross_race,36+_6+_felony
3870,3264,,0,1,cross_race,36+_6+_felony
5706,2202,,1,1,same_race,36+_6+_felony
3912,2202,,0,1,cross_race,36+_6+_felony
2215,4732,,1,0,cross_race,36+_6+_felony
4953,6670,,1,1,same_race,36+_6+_felony
749,3147,,1,0,cross_race,36+_6+_felony
2974,1537,,1,0,cross_race,36+_6+_felony
6769,20,,1,1,same_race,36+_6+_felony
5706,6769,,1,1,same_race,36+_6+_felony
5233,2823,,0,1,cross_race,36+_6+_felony
2823,1629,,1,1,same_race,36+_6+_felony
7026,2202,,1,1,same_race,36+_6+_felony
3972,6382,,0,1,cross_race,36+_6+_felony
5441,4847,,1,0,cross_race,36+_6+_felony
6670,1096,,1,0,cross_race,36+_6+_felony
4238,3489,,0,0,same_race,36+_6+_felony
2215,2099,,1,1,same_race,36+_6+_felony
1502,6975,,0,1,cross_race,36+_6+_felony
1299,2672,,1,1,same_race,36+_6+_felony
5233,6975,,0,1,cross_race,36+_6+_felony
2649,3523,,0,0,same_race,36+_6+_felony
3258,6247,,1,1,same_race,36+_6+_felony
5699,3091,,1,1,same_race,36+_6+_felony
6941,2202,,1,1,same_race,36+_6+_felony
3221,700,,1,1,same_race,36+_6+_felony
398,6194,,1,1,same_race,36+_6+_felony
398,7088,,1,1,same_race,36+_6+_felony
6382,2672,,1,1,same_race,36+_6+_felony
3972,6941,,0,1,cross_race,36+_6+_felony
6941,3264,,1,1,same_race,36+_6+_felony
58,738,,0,1,cross_race,36+_6+_felony
4238,4140,,0,1,cross_race,36+_6+_felony
1960,775,,1,1,same_race,36+_6+_felony
2754,5685,,1,1,same_race,36+_6+_felony
6194,1038,,1,1,same_race,36+_6+_felony
868,4732,,1,0,cross_race,36+_6+_felony
3841,2268,,1,1,same_race,36+_6+_felony
2823,1537,,1,0,cross_race,36+_6+_felony
6670,1038,,1,1,same_race,36+_6+_felony
6816,3972,,1,0,cross_race,36+_6+_felony
4804,2202,,1,1,same_race,36+_6+_felony
5613,6941,,1,1,same_race,36+_6+_felony
4804,4998,,1,0,cross_race,36+_6+_felony
5542,1629,,0,1,cross_race,36+_6+_felony
1299,3264,,1,1,same_race,36+_6+_felony
5441,58,,1,0,cross_race,36+_6+_felony
5233,738,,0,1,cross_race,36+_6+_felony
6670,6983,,1,0,cross_race,36+_6+_felony
2147,6194,,1,1,same_race,36+_6+_felony
3870,1960,,0,1,cross_race,36+_6+_felony
4953,3489,,1,0,cross_race,36+_6+_felony
5542,1400,,0,1,cross_race,36+_6+_felony
3258,5699,,1,1,same_race,36+_6+_felony
6382,700,,1,1,same_race,36+_6+_felony
5542,2672,,0,1,cross_race,36+_6+_felony
2147,1299,,1,1,same_race,36+_6+_felony
398,2391,,1,1,same_race,36+_6+_felony
1299,4847,,1,0,cross_race,36+_6+_felony
58,4699,,0,1,cross_race,36+_6+_felony
2566,1020,,1,1,same_race,36+_6+_felony
398,2649,,1,0,cross_race,36+_6+_felony
6769,1960,,1,1,same_race,36+_6+_felony
6194,3147,,1,0,cross_race,36+_6+_felony
2099,5699,,1,1,same_race,36+_6+_felony
3818,4317,,1,0,cross_race,36+_6+_felony
3841,6210,,1,1,same_race,36+_6+_felony
58,3065,,0,1,cross_race,36+_6+_felony
6816,1020,,1,1,same_race,36+_6+_felony
6382,5699,,1,1,same_race,36+_6+_felony
3972,625,,0,1,cross_race,36+_6+_felony
3870,2649,,0,0,same_race,36+_6+_felony
3912,2099,,0,1,cross_race,36+_6+_felony
700,2268,,1,1,same_race,36+_6+_felony
1299,3523,,1,0,cross_race,36+_6+_felony
833,2974,,1,1,same_race,36+_6+_felony
4998,2974,,0,1,cross_race,36+_6+_felony
700,2099,,1,1,same_race,36+_6+_felony
5441,4732,,1,0,cross_race,36+_6+_felony
5069,1038,,1,1,same_race,36+_6+_felony
2566,4140,,1,1,same_race,36+_6+_felony
7088,2823,,1,1,same_race,36+_6+_felony
7026,3065,,1,1,same_race,36+_6+_felony
3972,6247,,0,1,cross_race,36+_6+_felony
749,6975,,1,1,same_race,36+_6+_felony
3818,3841,,1,1,same_race,36+_6+_felony
2932,6670,,1,1,same_race,36+_6+_felony
3818,625,,1,1,same_race,36+_6+_felony
4238,6194,,0,1,cross_race,36+_6+_felony
2391,3258,,1,1,same_race,36+_6+_felony
7026,1960,,1,1,same_race,36+_6+_felony
5441,2215,,1,1,same_race,36+_6+_felony
2391,5685,,1,1,same_race,36+_6+_felony
1502,3523,,0,0,same_race,36+_6+_felony
6134,3523,,1,0,cross_race,36+_6+_felony
3600,625,,0,1,cross_race,36+_6+_felony
1502,6382,,0,1,cross_race,36+_6+_felony
3600,20,,0,1,cross_race,36+_6+_felony
5613,5685,,1,1,same_race,36+_6+_felony
5233,2649,,0,0,same_race,36+_6+_felony
3912,1960,,0,1,cross_race,36+_6+_felony
749,2391,,1,1,same_race,36+_6+_felony
2288,6382,,1,1,same_race,36+_6+_felony
3870,3912,,0,0,same_race,36+_6+_felony
1020,20,,1,1,same_race,36+_6+_felony
3818,2754,,1,1,same_race,36+_6+_felony
3818,6941,,1,1,same_race,36+_6+_felony
2823,3065,,1,1,same_race,36+_6+_felony
3972,1400,,0,1,cross_race,36+_6+_felony
3912,3523,,0,0,same_race,36+_6+_felony
5441,2754,,1,1,same_race,36+_6+_felony
3841,1960,,1,1,same_race,36+_6+_felony
6975,2754,,1,1,same_race,36+_6+_felony
2268,2169,,1,0,cross_race,36+_6+_felony
3221,6983,,1,0,cross_race,36+_6+_felony
2202,6670,,1,1,same_race,36+_6+_felony
757,1096,,1,0,cross_race,36+_6+_felony
7088,2672,,1,1,same_race,36+_6+_felony
749,625,,1,1,same_race,36+_6+_felony
1001,6670,,0,1,cross_race,36+_6+_felony
58,2169,,0,0,same_race,36+_6+_felony
1020,1537,,1,0,cross_race,36+_6+_felony
749,5706,,1,1,same_race,36+_6+_felony
3912,4317,,0,0,same_race,36+_6+_felony
1960,1096,,1,0,cross_race,36+_6+_felony
6816,6846,,1,1,same_race,36+_6+_felony
4238,6983,,0,0,same_race,36+_6+_felony
2288,4998,,1,0,cross_race,36+_6+_felony
6670,775,,1,1,same_race,36+_6+_felony
5706,6194,,1,1,same_race,36+_6+_felony
2754,1537,,1,0,cross_race,36+_6+_felony
2215,833,,1,1,same_race,36+_6+_felony
5706,3065,,1,1,same_race,36+_6+_felony
3221,3600,,1,0,cross_race,36+_6+_felony
5441,2202,,1,1,same_race,36+_6+_felony
2649,5699,,0,1,cross_race,36+_6+_felony
2932,3912,,1,0,cross_race,36+_6+_felony
6816,2932,,1,1,same_race,36+_6+_felony
2202,833,,1,1,same_race,36+_6+_felony
6210,2202,,1,1,same_race,36+_6+_felony
6816,3489,,1,0,cross_race,36+_6+_felony
3600,2391,,0,1,cross_race,36+_6+_felony
2169,6247,,0,1,cross_race,36+_6+_felony
5613,3523,,1,0,cross_race,36+_6+_felony
3600,833,,0,1,cross_race,36+_6+_felony
3221,1096,,1,0,cross_race,36+_6+_felony
4238,5699,,0,1,cross_race,36+_6+_felony
1502,5613,,0,1,cross_race,36+_6+_felony
4804,3870,,1,0,cross_race,36+_6+_felony
4953,6247,,1,1,same_race,36+_6+_felony
6846,775,,1,1,same_race,36+_6+_felony
2649,3264,,0,1,cross_race,36+_6+_felony
398,4140,,1,1,same_race,36+_6+_felony
3818,1629,,1,1,same_race,36+_6+_felony
3221,3258,,1,1,same_race,36+_6+_felony
5706,6247,,1,1,same_race,36+_6+_felony
4804,2974,,1,1,same_race,36+_6+_felony
3600,3065,,0,1,cross_race,36+_6+_felony
6975,2391,,1,1,same_race,36+_6+_felony
3870,1038,,0,1,cross_race,36+_6+_felony
3818,6382,,1,1,same_race,36+_6+_felony
20,5699,,1,1,same_race,36+_6+_felony
4953,3972,,1,0,cross_race,36+_6+_felony
6134,3912,,1,0,cross_race,36+_6+_felony
2391,868,,1,1,same_race,36+_6+_felony
3489,4732,,0,0,same_race,36+_6+_felony
3147,3065,,0,1,cross_race,36+_6+_felony
3870,2672,,0,1,cross_race,36+_6+_felony
1299,5699,,1,1,same_race,36+_6+_felony
700,775,,1,1,same_race,36+_6+_felony
4238,2672,,0,1,cross_race,36+_6+_felony
4804,5613,,1,1,same_race,36+_6+_felony
6941,2754,,1,1,same_race,36+_6+_felony
6134,6769,,1,1,same_race,36+_6+_felony
3258,2974,,1,1,same_race,36+_6+_felony
749,700,,1,1,same_race,36+_6+_felony
749,868,,1,1,same_race,36+_6+_felony
2566,1400,,1,1,same_race,36+_6+_felony
5233,6247,,0,1,cross_race,36+_6+_felony
1299,738,,1,1,same_race,36+_6+_felony
4317,3523,,0,0,same_race,36+_6+_felony
398,3523,,1,0,cross_race,36+_6+_felony
6846,5699,,1,1,same_race,36+_6+_felony
2932,625,,1,1,same_race,36+_6+_felony
6941,3258,,1,1,same_race,36+_6+_felony
3221,2823,,1,1,same_race,36+_6+_felony
3258,1096,,1,0,cross_race,36+_6+_felony
1001,4847,,0,0,same_race,36+_6+_felony
3221,3091,,1,1,same_race,36+_6+_felony
3972,5069,,0,1,cross_race,36+_6+_felony
5233,3489,,0,0,same_race,36+_6+_felony
3818,6134,,1,1,same_race,36+_6+_felony
3600,3091,,0,1,cross_race,36+_6+_felony
4953,3912,,1,0,cross_race,36+_6+_felony
6816,1001,,1,0,cross_race,36+_6+_felony
6382,7088,,1,1,same_race,36+_6+_felony
2932,6983,,1,0,cross_race,36+_6+_felony
6194,1096,,1,0,cross_race,36+_6+_felony
6975,4998,,1,0,cross_race,36+_6+_felony
1502,6247,,0,1,cross_race,36+_6+_felony
1299,3091,,1,1,same_race,36+_6+_felony
5706,3258,,1,1,same_race,36+_6+_felony
3818,738,,1,1,same_race,36+_6+_felony
2215,4140,,1,1,same_race,36+_6+_felony
3264,5685,,1,1,same_race,36+_6+_felony
4699,2754,,1,1,same_race,36+_6+_felony
5613,2823,,1,1,same_race,36+_6+_felony
757,5685,,1,1,same_race,36+_6+_felony
7088,3523,,1,0,cross_race,36+_6+_felony
6382,1629,,1,1,same_race,36+_6+_felony
5613,3091,,1,1,same_race,36+_6+_felony
3221,5613,,1,1,same_race,36+_6+_felony
6816,1502,,1,0,cross_race,36+_6+_felony
3870,3523,,0,0,same_race,36+_6+_felony
2215,6194,,1,1,same_race,36+_6+_felony
6210,7026,,1,1,same_race,36+_6+_felony
749,3258,,1,1,same_race,36+_6+_felony
6134,7088,,1,1,same_race,36+_6+_felony
2202,775,,1,1,same_race,36+_6+_felony
2147,2932,,1,1,same_race,36+_6+_felony
3972,4699,,0,1,cross_race,36+_6+_felony
2215,4317,,1,0,cross_race,36+_6+_felony
3870,2169,,0,0,same_race,36+_6+_felony
5685,1096,,1,0,cross_race,36+_6+_felony
1400,3523,,1,0,cross_race,36+_6+_felony
2823,4847,,1,0,cross_race,36+_6+_felony
6134,4847,,1,0,cross_race,36+_6+_felony
5613,2099,,1,1,same_race,36+_6+_felony
3841,2932,,1,1,same_race,36+_6+_felony
4140,1960,,1,1,same_race,36+_6+_felony
700,6194,,1,1,same_race,36+_6+_felony
5706,2099,,1,1,same_race,36+_6+_felony
7088,6670,,1,1,same_race,36+_6+_felony
757,20,,1,1,same_race,36+_6+_felony
6382,625,,1,1,same_race,36+_6+_felony
5233,4140,,0,1,cross_race,36+_6+_felony
749,2649,,1,0,cross_race,36+_6+_felony
4804,5069,,1,1,same_race,36+_6+_felony
4238,5613,,0,1,cross_race,36+_6+_felony
3912,757,,0,1,cross_race,36+_6+_felony
6816,2672,,1,1,same_race,36+_6+_felony
6382,1001,,1,0,cross_race,36+_6+_felony
1001,4732,,0,0,same_race,36+_6+_felony
4238,700,,0,1,cross_race,36+_6+_felony
2288,5613,,1,1,same_race,36+_6+_felony
4998,5542,,0,0,same_race,36+_6+_felony
3065,4732,,1,0,cross_race,36+_6+_felony
3264,4699,,1,1,same_race,36+_6+_felony
4953,4317,,1,0,cross_race,36+_6+_felony
4699,5685,,1,1,same_race,36+_6+_felony
2288,1096,,1,0,cross_race,36+_6+_felony
3870,4847,,0,0,same_race,36+_6+_felony
7088,3264,,1,1,same_race,36+_6+_felony
5613,1537,,1,0,cross_race,36+_6+_felony
6769,5699,,1,1,same_race,36+_6+_felony
749,2932,,1,1,same_race,36+_6+_felony
625,4699,,1,1,same_race,36+_6+_felony
6816,5699,,1,1,same_race,36+_6+_felony
749,5542,,1,0,cross_race,36+_6+_felony
2391,2672,,1,1,same_race,36+_6+_felony
2566,3972,,1,0,cross_race,36+_6+_felony
1096,3091,,0,1,cross_race,36+_6+_felony
2288,3818,,1,1,same_race,36+_6+_felony
2566,4238,,1,0,cross_race,36+_6+_felony
2147,4140,,1,1,same_race,36+_6+_felony
2649,6941,,0,1,cross_race,36+_6+_felony
4804,7088,,1,1,same_race,36+_6+_felony
749,1020,,1,1,same_race,36+_6+_felony
7088,7026,,1,1,same_race,36+_6+_felony
3972,6975,,0,1,cross_race,36+_6+_felony
3912,3258,,0,1,cross_race,36+_6+_felony
6846,3258,,1,1,same_race,36+_6+_felony
757,5069,,1,1,same_race,36+_6+_felony
2147,2099,,1,1,same_race,36+_6+_felony
5233,58,,0,0,same_race,36+_6+_felony
4998,4732,,0,0,same_race,36+_6+_felony
5355,4256,,1,0,cross_race,18-25_0_felony
2890,5923,,0,1,cross_race,18-25_0_felony
4924,1221,,1,1,same_race,18-25_0_felony
1930,5479,,0,1,cross_race,18-25_0_felony
2914,1930,,1,0,cross_race,18-25_0_felony
4923,5355,,0,1,cross_race,18-25_0_felony
906,3231,,0,1,cross_race,18-25_0_felony
6855,5923,,1,1,same_race,18-25_0_felony
2378,2570,,1,1,same_race,18-25_0_felony
3969,5479,,1,1,same_race,18-25_0_felony
865,2890,,1,0,cross_race,18-25_0_felony
2172,2914,,1,1,same_race,18-25_0_felony
1556,7079,,0,1,cross_race,18-25_0_felony
354,4256,,0,0,same_race,18-25_0_felony
6002,4480,,1,0,cross_race,18-25_0_felony
2103,1221,,1,1,same_race,18-25_0_felony
1269,5824,,0,1,cross_race,18-25_0_felony
865,3936,,1,1,same_race,18-25_0_felony
2799,5340,,1,0,cross_race,18-25_0_felony
2025,6587,,1,0,cross_race,18-25_0_felony
1887,1556,,0,0,same_race,18-25_0_felony
1338,5784,,1,1,same_race,18-25_0_felony
1472,6295,,0,0,same_race,18-25_0_felony
2378,4492,,1,0,cross_race,18-25_0_felony
6658,5601,,1,1,same_race,18-25_0_felony
6356,3104,,1,1,same_race,18-25_0_felony
2378,1472,,1,0,cross_race,18-25_0_felony
1680,2575,,0,1,cross_race,18-25_0_felony
5904,4492,,1,0,cross_race,18-25_0_felony
3525,640,,1,1,same_race,18-25_0_felony
6009,7208,,0,1,cross_race,18-25_0_felony
2799,2890,,1,0,cross_race,18-25_0_felony
4924,6009,,1,0,cross_race,18-25_0_felony
5601,1472,,1,0,cross_race,18-25_0_felony
3572,735,,0,1,cross_race,18-25_0_felony
402,3969,,0,1,cross_race,18-25_0_felony
402,3104,,0,1,cross_race,18-25_0_felony
865,5824,,1,1,same_race,18-25_0_felony
1887,1269,,0,0,same_race,18-25_0_felony
1137,5197,,1,1,same_race,18-25_0_felony
402,7210,,0,1,cross_race,18-25_0_felony
5503,5923,,1,1,same_race,18-25_0_felony
6356,2677,,1,0,cross_race,18-25_0_felony
2799,3594,,1,0,cross_race,18-25_0_felony
6002,2575,,1,1,same_race,18-25_0_felony
2025,5197,,1,1,same_race,18-25_0_felony
2847,4256,,0,0,same_race,18-25_0_felony
4492,2810,,0,0,same_race,18-25_0_felony
4924,5355,,1,1,same_race,18-25_0_felony
2011,3572,,1,0,cross_race,18-25_0_felony
4902,4492,,0,0,same_race,18-25_0_felony
865,5340,,1,0,cross_race,18-25_0_felony
5578,3936,,0,1,cross_race,18-25_0_felony
6855,1678,,1,1,same_race,18-25_0_felony
5642,6356,,1,1,same_race,18-25_0_felony
6587,5355,,0,1,cross_race,18-25_0_felony
1338,1632,,1,0,cross_race,18-25_0_felony
6658,4256,,1,0,cross_race,18-25_0_felony
5904,3231,,1,1,same_race,18-25_0_felony
7020,2810,,1,0,cross_race,18-25_0_felony
4912,1619,,0,1,cross_race,18-25_0_felony
1930,3231,,0,1,cross_race,18-25_0_felony
2570,5923,,1,1,same_race,18-25_0_felony
3572,5479,,0,1,cross_race,18-25_0_felony
6587,3525,,0,1,cross_race,18-25_0_felony
7020,354,,1,0,cross_race,18-25_0_felony
1137,3104,,1,1,same_race,18-25_0_felony
2025,5479,,1,1,same_race,18-25_0_felony
1472,4492,,0,0,same_race,18-25_0_felony
1137,5340,,1,0,cross_race,18-25_0_felony
6978,5374,,1,1,same_race,18-25_0_felony
3104,5479,,1,1,same_race,18-25_0_felony
6658,3355,,1,0,cross_race,18-25_0_felony
2025,5578,,1,0,cross_race,18-25_0_felony
402,4914,,0,0,same_race,18-25_0_felony
6295,4256,,0,0,same_race,18-25_0_felony
