,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9
6858,0,0,0,0,0,0,0,0,0,0
5631,0,0,0,0,0,0,0,0,0,0
3870,1,1,1,1,1,1,1,1,1,1
3103,0,0,0,0,0,0,0,0,0,0
2200,0,0,0,0,0,0,0,0,0,0
2822,0,0,0,0,0,0,0,0,0,0
1890,0,0,0,0,0,0,0,0,0,0
3629,0,0,0,0,0,0,0,0,0,0
6587,0,0,0,0,0,0,0,0,0,0
3158,0,0,0,0,0,0,0,0,0,0
3499,0,0,0,0,0,0,0,0,0,0
4038,1,1,1,1,1,1,1,1,1,1
3509,0,0,0,0,0,0,0,0,0,0
1256,0,0,0,0,0,0,0,0,0,0
4011,0,0,0,0,0,0,0,0,0,0
2346,1,1,1,1,1,1,1,1,1,1
5443,1,1,1,1,1,1,1,1,1,1
357,1,1,1,1,1,1,1,1,1,1
6644,0,0,0,0,0,0,0,0,0,0
1005,1,1,1,1,1,1,1,1,1,1
10,0,0,0,0,0,0,0,0,0,0
3436,0,0,0,0,0,0,0,0,0,0
1459,1,1,1,1,1,1,1,1,1,1
2172,0,0,0,0,0,0,0,0,0,0
6846,0,0,0,0,0,0,0,0,0,0
6407,1,1,1,1,1,1,1,1,1,1
856,0,0,0,0,0,0,0,0,0,0
6160,0,0,0,0,0,0,0,0,0,0
6008,1,1,1,1,1,1,1,1,1,1
2544,0,0,0,0,0,0,0,0,0,0
5761,1,1,1,1,1,1,1,1,1,1
5659,0,0,0,0,0,0,0,0,0,0
6765,0,0,0,0,0,0,0,0,0,0
6515,1,1,1,1,1,1,1,1,1,1
4813,0,0,0,0,0,0,0,0,0,0
6375,0,0,0,0,0,0,0,0,0,0
3122,0,0,0,0,0,0,0,0,0,0
816,1,1,1,1,1,1,1,1,1,1
6235,0,0,0,0,0,0,0,0,0,0
4145,1,1,1,1,1,1,1,1,1,1
7044,0,0,0,0,0,0,0,0,0,0
6043,0,0,0,0,0,0,0,0,0,0
3266,0,0,0,0,0,0,0,0,0,0
3564,0,0,0,0,0,0,0,0,0,0
887,1,1,1,1,1,1,1,1,1,1
2103,0,0,0,0,0,0,0,0,0,0
6195,0,0,0,0,0,0,0,0,0,0
4924,0,0,0,0,0,0,0,0,0,0
7175,0,0,0,0,0,0,0,0,0,0
1887,0,0,0,0,0,0,0,0,0,0
1661,1,1,1,1,1,1,1,1,1,1
4518,0,0,0,0,0,0,0,0,0,0
6906,0,0,0,0,0,0,0,0,0,0
2152,0,0,0,0,0,0,0,0,0,0
1338,0,0,0,0,0,0,0,0,0,0
4435,0,0,0,0,0,0,0,0,0,0
6068,0,0,0,0,0,0,0,0,0,0
4232,1,1,1,1,1,1,1,1,1,1
1461,1,1,1,1,1,1,1,1,1,1
4268,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0
6560,1,1,1,1,1,1,1,1,1,1
2208,0,0,0,0,0,0,0,0,0,0
2259,0,0,0,0,0,0,0,0,0,0
3118,1,1,1,1,1,1,1,1,1,1
1319,0,0,0,0,0,0,0,0,0,0
3771,0,0,0,0,0,0,0,0,0,0
3972,0,0,0,0,0,0,0,0,0,0
3176,0,0,0,0,0,0,0,0,0,0
3191,0,0,0,0,0,0,0,0,0,0
5900,0,0,0,0,0,0,0,0,0,0
3928,0,0,0,0,0,0,0,0,0,0
5621,0,0,0,0,0,0,0,0,0,0
4127,1,1,1,1,1,1,1,1,1,1
3671,0,0,0,0,0,0,0,0,0,0
1718,0,0,0,0,0,0,0,0,0,0
1624,0,0,0,0,0,0,0,0,0,0
5705,1,1,1,1,1,1,1,1,1,1
4404,0,0,0,0,0,0,0,0,0,0
2954,0,0,0,0,0,0,0,0,0,0
2696,0,0,0,0,0,0,0,0,0,0
6802,0,0,0,0,0,0,0,0,0,0
5907,0,0,0,0,0,0,0,0,0,0
2892,0,0,0,0,0,0,0,0,0,0
1595,1,1,1,1,1,1,1,1,1,1
2562,0,0,0,0,0,0,0,0,0,0
6356,0,0,0,0,0,0,0,0,0,0
649,0,0,0,0,0,0,0,0,0,0
764,0,0,0,0,0,0,0,0,0,0
4656,1,1,1,1,1,1,1,1,1,1
402,0,0,0,0,0,0,0,0,0,0
4688,0,0,0,0,0,0,0,0,0,0
1273,0,0,0,0,0,0,0,0,0,0
6091,0,0,0,0,0,0,0,0,0,0
2977,0,0,0,0,0,0,0,0,0,0
1111,0,0,0,0,0,0,0,0,0,0
2886,0,0,0,0,0,0,0,0,0,0
5374,0,0,0,0,0,0,0,0,0,0
2276,0,0,0,0,0,0,0,0,0,0
405,1,1,1,1,1,1,1,1,1,1
6201,0,0,0,0,0,0,0,0,0,0
4355,0,0,0,0,0,0,0,0,0,0
5289,0,0,0,0,0,0,0,0,0,0
2933,0,0,0,0,0,0,0,0,0,0
5117,0,0,0,0,0,0,0,0,0,0
3105,0,0,0,0,0,0,0,0,0,0
3289,1,1,1,1,1,1,1,1,1,1
2580,0,0,0,0,0,0,0,0,0,0
4731,1,1,1,1,1,1,1,1,1,1
1813,0,0,0,0,0,0,0,0,0,0
5580,1,1,1,1,1,1,1,1,1,1
2402,0,0,0,0,0,0,0,0,0,0
865,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0
3990,0,0,0,0,0,0,0,0,0,0
1267,0,0,0,0,0,0,0,0,0,0
7212,0,0,0,0,0,0,0,0,0,0
1301,0,0,0,0,0,0,0,0,0,0
1192,0,0,0,0,0,0,0,0,0,0
5360,0,0,0,0,0,0,0,0,0,0
1911,0,0,0,0,0,0,0,0,0,0
6510,0,0,0,0,0,0,0,0,0,0
6454,1,1,1,1,1,1,1,1,1,1
902,0,0,0,0,0,0,0,0,0,0
7007,0,0,0,0,0,0,0,0,0,0
6319,0,0,0,0,0,0,0,0,0,0
4545,0,0,0,0,0,0,0,0,0,0
3818,0,0,0,0,0,0,0,0,0,0
2766,1,1,1,1,1,1,1,1,1,1
4362,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0
3036,0,0,0,0,0,0,0,0,0,0
2476,1,1,1,1,1,1,1,1,1,1
720,0,0,0,0,0,0,0,0,0,0
2500,0,0,0,0,0,0,0,0,0,0
6850,0,0,0,0,0,0,0,0,0,0
1469,1,1,1,1,1,1,1,1,1,1
6357,1,1,1,1,1,1,1,1,1,1
3841,1,1,1,1,1,1,1,1,1,1
4231,1,1,1,1,1,1,1,1,1,1
1502,1,1,1,1,1,1,1,1,1,1
3898,0,0,0,0,0,0,0,0,0,0
811,1,1,1,1,1,1,1,1,1,1
4375,0,0,0,0,0,0,0,0,0,0
5706,1,1,1,1,1,1,1,1,1,1
5183,0,0,0,0,0,0,0,0,0,0
2179,0,0,0,0,0,0,0,0,0,0
5010,0,0,0,0,0,0,0,0,0,0
5197,0,0,0,0,0,0,0,0,0,0
4834,1,1,1,1,1,1,1,1,1,1
1044,0,0,0,0,0,0,0,0,0,0
6553,0,0,0,0,0,0,0,0,0,0
3203,1,1,1,1,1,1,1,1,1,1
6855,0,0,0,0,0,0,0,0,0,0
1228,0,0,0,0,0,0,0,0,0,0
5204,0,0,0,0,0,0,0,0,0,0
2787,0,0,0,0,0,0,0,0,0,0
4315,1,1,1,1,1,1,1,1,1,1
6705,0,0,0,0,0,0,0,0,0,0
1143,0,0,0,0,0,0,0,0,0,0
3598,0,0,0,0,0,0,0,0,0,0
780,0,0,0,0,0,0,0,0,0,0
7181,0,0,0,0,0,0,0,0,0,0
3087,0,0,0,0,0,0,0,0,0,0
5135,0,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0,0,0
1489,1,1,1,1,1,1,1,1,1,1
6614,0,0,0,0,0,0,0,0,0,0
5826,1,1,1,1,1,1,1,1,1,1
3594,1,1,1,1,1,1,1,1,1,1
6496,1,1,1,1,1,1,1,1,1,1
3076,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0
3247,0,0,0,0,0,0,0,0,0,0
3182,0,0,0,0,0,0,0,0,0,0
3522,0,0,0,0,0,0,0,0,0,0
2930,0,0,0,0,0,0,0,0,0,0
7053,0,0,0,0,0,0,0,0,0,0
2215,0,0,0,0,0,0,0,0,0,0
4187,0,0,0,0,0,0,0,0,0,0
1420,0,0,0,0,0,0,0,0,0,0
5382,0,0,0,0,0,0,0,0,0,0
657,1,1,1,1,1,1,1,1,1,1
6532,0,0,0,0,0,0,0,0,0,0
7189,0,0,0,0,0,0,0,0,0,0
4238,1,1,1,1,1,1,1,1,1,1
3439,0,0,0,0,0,0,0,0,0,0
6057,0,0,0,0,0,0,0,0,0,0
3884,0,0,0,0,0,0,0,0,0,0
1579,0,0,0,0,0,0,0,0,0,0
1680,1,1,1,1,1,1,1,1,1,1
4556,0,0,0,0,0,0,0,0,0,0
5129,0,0,0,0,0,0,0,0,0,0
1632,1,1,1,1,1,1,1,1,1,1
6506,0,0,0,0,0,0,0,0,0,0
819,0,0,0,0,0,0,0,0,0,0
6975,0,0,0,0,0,0,0,0,0,0
5166,0,0,0,0,0,0,0,0,0,0
2067,0,0,0,0,0,0,0,0,0,0
248,1,1,1,1,1,1,1,1,1,1
6659,0,0,0,0,0,0,0,0,0,0
2378,0,0,0,0,0,0,0,0,0,0
5483,0,0,0,0,0,0,0,0,0,0
1299,0,0,0,0,0,0,0,0,0,0
1164,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0
2877,0,0,0,0,0,0,0,0,0,0
6647,0,0,0,0,0,0,0,0,0,0
1187,0,0,0,0,0,0,0,0,0,0
4998,1,1,1,1,1,1,1,1,1,1
5082,0,0,0,0,0,0,0,0,0,0
2679,1,1,1,1,1,1,1,1,1,1
2514,0,0,0,0,0,0,0,0,0,0
3340,1,1,1,1,1,1,1,1,1,1
5542,1,1,1,1,1,1,1,1,1,1
5333,0,0,0,0,0,0,0,0,0,0
7120,0,0,0,0,0,0,0,0,0,0
5250,0,0,0,0,0,0,0,0,0,0
5648,1,1,1,1,1,1,1,1,1,1
398,1,1,1,1,1,1,1,1,1,1
508,0,0,0,0,0,0,0,0,0,0
5425,0,0,0,0,0,0,0,0,0,0
2882,0,0,0,0,0,0,0,0,0,0
4003,1,1,1,1,1,1,1,1,1,1
2890,0,0,0,0,0,0,0,0,0,0
5627,0,0,0,0,0,0,0,0,0,0
1724,1,1,1,1,1,1,1,1,1,1
4247,0,0,0,0,0,0,0,0,0,0
5984,0,0,0,0,0,0,0,0,0,0
5936,1,1,1,1,1,1,1,1,1,1
4692,0,0,0,0,0,0,0,0,0,0
2496,1,1,1,1,1,1,1,1,1,1
943,1,1,1,1,1,1,1,1,1,1
5672,0,0,0,0,0,0,0,0,0,0
6692,0,0,0,0,0,0,0,0,0,0
561,1,1,1,1,1,1,1,1,1,1
6134,1,1,1,1,1,1,1,1,1,1
5216,0,0,0,0,0,0,0,0,0,0
7049,0,0,0,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0,0,0,0
2649,1,1,1,1,1,1,1,1,1,1
5508,1,1,1,1,1,1,1,1,1,1
6382,1,1,1,1,1,1,1,1,1,1
4930,0,0,0,0,0,0,0,0,0,0
6592,0,0,0,0,0,0,0,0,0,0
1327,0,0,0,0,0,0,0,0,0,0
1020,1,1,1,1,1,1,1,1,1,1
3969,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0
7088,0,0,0,0,0,0,0,0,0,0
4672,0,0,0,0,0,0,0,0,0,0
6519,0,0,0,0,0,0,0,0,0,0
3715,1,1,1,1,1,1,1,1,1,1
3926,1,1,1,1,1,1,1,1,1,1
2932,1,1,1,1,1,1,1,1,1,1
754,0,0,0,0,0,0,0,0,0,0
6343,0,0,0,0,0,0,0,0,0,0
1493,1,1,1,1,1,1,1,1,1,1
2396,0,0,0,0,0,0,0,0,0,0
4369,0,0,0,0,0,0,0,0,0,0
3620,1,1,1,1,1,1,1,1,1,1
5290,1,1,1,1,1,1,1,1,1,1
194,1,1,1,1,1,1,1,1,1,1
6000,1,1,1,1,1,1,1,1,1,1
3569,0,0,0,0,0,0,0,0,0,0
2847,0,0,0,0,0,0,0,0,0,0
5904,0,0,0,0,0,0,0,0,0,0
3192,0,0,0,0,0,0,0,0,0,0
1515,0,0,0,0,0,0,0,0,0,0
6210,1,1,1,1,1,1,1,1,1,1
2677,0,0,0,0,0,0,0,0,0,0
4823,0,0,0,0,0,0,0,0,0,0
1222,0,0,0,0,0,0,0,0,0,0
3368,1,1,1,1,1,1,1,1,1,1
5719,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0
6097,1,1,1,1,1,1,1,1,1,1
5493,0,0,0,0,0,0,0,0,0,0
2855,0,0,0,0,0,0,0,0,0,0
744,0,0,0,0,0,0,0,0,0,0
6696,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0
237,1,1,1,1,1,1,1,1,1,1
3279,1,1,1,1,1,1,1,1,1,1
4136,1,1,1,1,1,1,1,1,1,1
2729,0,0,0,0,0,0,0,0,0,0
1454,0,0,0,0,0,0,0,0,0,0
4517,0,0,0,0,0,0,0,0,0,0
1400,1,1,1,1,1,1,1,1,1,1
2174,0,0,0,0,0,0,0,0,0,0
6634,1,1,1,1,1,1,1,1,1,1
5752,0,0,0,0,0,0,0,0,0,0
5253,0,0,0,0,0,0,0,0,0,0
5678,0,0,0,0,0,0,0,0,0,0
872,0,0,0,0,0,0,0,0,0,0
2940,0,0,0,0,0,0,0,0,0,0
3682,0,0,0,0,0,0,0,0,0,0
5786,0,0,0,0,0,0,0,0,0,0
2591,0,0,0,0,0,0,0,0,0,0
7133,0,0,0,0,0,0,0,0,0,0
1207,1,1,1,1,1,1,1,1,1,1
6730,0,0,0,0,0,0,0,0,0,0
5568,0,0,0,0,0,0,0,0,0,0
2220,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0
2598,0,0,0,0,0,0,0,0,0,0
3104,0,0,0,0,0,0,0,0,0,0
4077,0,0,0,0,0,0,0,0,0,0
4424,0,0,0,0,0,0,0,0,0,0
3912,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0
2537,0,0,0,0,0,0,0,0,0,0
673,0,0,0,0,0,0,0,0,0,0
3697,1,1,1,1,1,1,1,1,1,1
2135,0,0,0,0,0,0,0,0,0,0
4842,1,1,1,1,1,1,1,1,1,1
6618,0,0,0,0,0,0,0,0,0,0
6841,0,0,0,0,0,0,0,0,0,0
6725,0,0,0,0,0,0,0,0,0,0
2245,1,1,1,1,1,1,1,1,1,1
1637,0,0,0,0,0,0,0,0,0,0
2821,1,1,1,1,1,1,1,1,1,1
6885,0,0,0,0,0,0,0,0,0,0
1678,0,0,0,0,0,0,0,0,0,0
3295,0,0,0,0,0,0,0,0,0,0
1149,0,0,0,0,0,0,0,0,0,0
3459,1,1,1,1,1,1,1,1,1,1
2660,0,0,0,0,0,0,0,0,0,0
700,0,0,0,0,0,0,0,0,0,0
1219,0,0,0,0,0,0,0,0,0,0
3228,1,1,1,1,1,1,1,1,1,1
527,0,0,0,0,0,0,0,0,0,0
3816,0,0,0,0,0,0,0,0,0,0
2625,0,0,0,0,0,0,0,0,0,0
6769,1,1,1,1,1,1,1,1,1,1
129,0,0,0,0,0,0,0,0,0,0
2831,0,0,0,0,0,0,0,0,0,0
5601,0,0,0,0,0,0,0,0,0,0
5073,0,0,0,0,0,0,0,0,0,0
6336,1,1,1,1,1,1,1,1,1,1
420,1,1,1,1,1,1,1,1,1,1
2833,1,1,1,1,1,1,1,1,1,1
1504,0,0,0,0,0,0,0,0,0,0
2681,1,1,1,1,1,1,1,1,1,1
6628,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
4267,0,0,0,0,0,0,0,0,0,0
5613,0,0,0,0,0,0,0,0,0,0
4113,0,0,0,0,0,0,0,0,0,0
6194,1,1,1,1,1,1,1,1,1,1
1169,0,0,0,0,0,0,0,0,0,0
6130,0,0,0,0,0,0,0,0,0,0
3120,0,0,0,0,0,0,0,0,0,0
4386,1,1,1,1,1,1,1,1,1,1
2190,0,0,0,0,0,0,0,0,0,0
1196,0,0,0,0,0,0,0,0,0,0
6707,0,0,0,0,0,0,0,0,0,0
6328,0,0,0,0,0,0,0,0,0,0
3133,0,0,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0,0,0
3658,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0
3808,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0
1413,0,0,0,0,0,0,0,0,0,0
2914,0,0,0,0,0,0,0,0,0,0
3018,0,0,0,0,0,0,0,0,0,0
3534,1,1,1,1,1,1,1,1,1,1
4935,0,0,0,0,0,0,0,0,0,0
6050,1,1,1,1,1,1,1,1,1,1
757,1,1,1,1,1,1,1,1,1,1
4624,1,1,1,1,1,1,1,1,1,1
4305,0,0,0,0,0,0,0,0,0,0
3668,0,0,0,0,0,0,0,0,0,0
5274,1,1,1,1,1,1,1,1,1,1
5503,0,0,0,0,0,0,0,0,0,0
1441,0,0,0,0,0,0,0,0,0,0
2865,0,0,0,0,0,0,0,0,0,0
3610,0,0,0,0,0,0,0,0,0,0
1540,0,0,0,0,0,0,0,0,0,0
4623,1,1,1,1,1,1,1,1,1,1
7201,1,1,1,1,1,1,1,1,1,1
5997,0,0,0,0,0,0,0,0,0,0
6941,0,0,0,0,0,0,0,0,0,0
6467,0,0,0,0,0,0,0,0,0,0
6900,1,1,1,1,1,1,1,1,1,1
6803,0,0,0,0,0,0,0,0,0,0
4914,1,1,1,1,1,1,1,1,1,1
4405,0,0,0,0,0,0,0,0,0,0
4463,0,0,0,0,0,0,0,0,0,0
3141,1,1,1,1,1,1,1,1,1,1
2505,0,0,0,0,0,0,0,0,0,0
2170,0,0,0,0,0,0,0,0,0,0
1541,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0
3784,0,0,0,0,0,0,0,0,0,0
4490,0,0,0,0,0,0,0,0,0,0
3881,0,0,0,0,0,0,0,0,0,0
2294,0,0,0,0,0,0,0,0,0,0
4416,0,0,0,0,0,0,0,0,0,0
3835,0,0,0,0,0,0,0,0,0,0
683,0,0,0,0,0,0,0,0,0,0
4819,0,0,0,0,0,0,0,0,0,0
1861,0,0,0,0,0,0,0,0,0,0
3702,1,1,1,1,1,1,1,1,1,1
2984,0,0,0,0,0,0,0,0,0,0
905,0,0,0,0,0,0,0,0,0,0
6617,0,0,0,0,0,0,0,0,0,0
3877,1,1,1,1,1,1,1,1,1,1
531,1,1,1,1,1,1,1,1,1,1
4923,0,0,0,0,0,0,0,0,0,0
4585,0,0,0,0,0,0,0,0,0,0
5352,0,0,0,0,0,0,0,0,0,0
7026,1,1,1,1,1,1,1,1,1,1
4837,0,0,0,0,0,0,0,0,0,0
3147,1,1,1,1,1,1,1,1,1,1
105,0,0,0,0,0,0,0,0,0,0
543,1,1,1,1,1,1,1,1,1,1
2291,0,0,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0,0,0
3175,0,0,0,0,0,0,0,0,0,0
4546,0,0,0,0,0,0,0,0,0,0
4511,1,1,1,1,1,1,1,1,1,1
3967,1,1,1,1,1,1,1,1,1,1
124,1,1,1,1,1,1,1,1,1,1
3034,0,0,0,0,0,0,0,0,0,0
2737,0,0,0,0,0,0,0,0,0,0
4895,0,0,0,0,0,0,0,0,0,0
6758,1,1,1,1,1,0,0,1,0,0
3921,1,1,1,1,1,1,1,1,1,1
784,0,0,0,0,0,0,0,0,0,0
2074,0,0,0,0,0,0,0,0,0,0
3145,0,0,0,0,0,0,0,0,0,0
3612,0,0,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0,0,0,0
5856,0,0,0,0,0,0,0,0,0,0
3775,0,0,0,0,0,0,0,0,0,0
4120,0,0,0,0,0,0,0,0,0,0
1105,1,1,1,1,1,1,1,1,1,1
6114,0,0,0,0,0,0,0,0,0,0
5099,0,0,0,0,0,0,0,0,0,0
1241,1,1,1,1,1,1,1,1,1,1
286,0,0,0,0,0,0,0,0,0,0
7170,0,0,0,0,0,0,0,0,0,0
3573,1,1,1,1,1,1,1,1,1,1
2351,0,0,0,0,0,0,0,0,0,0
5355,0,0,0,0,0,0,0,0,0,0
4392,0,0,0,0,0,0,0,0,0,0
4745,0,0,0,0,0,0,0,0,0,0
6679,1,1,1,1,1,1,1,1,1,1
3669,0,0,0,0,0,0,0,0,0,0
6329,1,1,1,1,1,1,1,1,1,1
6736,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0
2257,0,0,0,0,0,0,0,0,0,0
6512,0,0,0,0,0,0,0,0,0,0
1953,1,1,1,1,1,1,1,1,1,1
945,0,0,0,0,0,0,0,0,0,0
1368,0,0,0,0,0,0,0,0,0,0
2843,0,0,0,0,0,0,0,0,0,0
